city,country,stationName,stationNumber,latitude,longitude,
昆明市,宜良,竹山,T5074,250330,1030947,2503301030947
昆明市,宜良,海发村,T5122,250651,1030824,2506511030824
昆明市,宜良,永乐电站,T5123,250933,1031008,2509331031008
昆明市,禄劝县,永翠,T5190,254243,1023119,2542431023119
昆明市,禄劝县,阿巧,T5191,261759,1023527,2617591023527
昆明市,禄劝县,噜基村,T5192,261830,1022918,2618301022918
昆明市,禄劝县,汤德村,T5193,261817,1023307,2618171023307
昆明市,禄劝县,新村,T5194,262027,1023609,2620271023609
昆明市,禄劝县,达作卧,T5195,261336,1023148,2613361023148
昆明市,禄劝县,大松树,T5170,261536,1023200,2615361023200
昆明市,禄劝县,初途,T5168,253950,1024131,2539501024131
昆明市,禄劝县,迤途,T5169,254503,1024027,2545031024027
昆明市,禄劝县,乐业,T5189,254339,1023206,2543391023206
昆明市,禄劝县,三合,T5175,260131,1022436,2601311022436
昆明市,禄劝县,照块,T5176,260124,1022624,2601241022624
昆明市,禄劝县,金乌,T5188,255236,1022216,2552361022216
昆明市,禄劝县,典文,T5186,260742,1021742,2607421021742
昆明市,禄劝县,细榨,T5187,261318,1021824,2613181021824
昆明市,禄劝县,打车,T5183,260942,1024106,2609421024106
昆明市,禄劝县,包谷山,T5184,260224,1024330,2602241024330
昆明市,禄劝县,花椒园,T5185,261012,1024218,2610121024218
昆明市,禄劝县,普福,T5177,261230,1023742,2612301023742
昆明市,禄劝县,通龙,T5178,260735,1023459,2607351023459
昆明市,禄劝县,皎平,T5179,261613,1022454,2616131022454
昆明市,禄劝县,杉乐,T5180,261307,1022646,2613071022646
昆明市,禄劝县,六块,T5166,253334,1023231,2533341023231
昆明市,禄劝县,岔河,T5167,252950,1023427,2529501023427
昆明市,禄劝县,植桂,T5181,255700,1023900,2557001023900
昆明市,禄劝县,康井,T5182,255310,1024153,2553101024153
昆明市,禄劝县,功德,T5172,254316,1024100,2543161024100
昆明市,禄劝县,木克,T5173,254542,1024025,2545421024025
昆明市,禄劝县,民权,T5171,255324,1022512,2553241022512
昆明市,禄劝县,和平,T5174,255119,1024512,2551191024512
昆明市,禄劝县,兴隆,T5196,252039,1022232,2520391022232
昆明市,禄劝县,希望,T5197,254623,1023036,2546231023036
昆明市,禄劝县,汤郎,T5198,261112,1021728,2611121021728
昆明市,官渡区,吴井,T5200,250201,1024349,2502011024349
昆明市,官渡区,自卫,T5201,245508,1024630,2455081024630
昆明市,东川区,中殿村,T5202,260737,1031153,2607371031153
昆明市,东川区,岩头村,T5203,255231,1031627,2552311031627
昆明市,东川区,拖落村,T5204,255831,1031013,2558311031013
昆明市,东川区,起黑村,T5205,255202,1031357,2552021031357
昆明市,东川区,阿旺村,T5206,255437,1031330,2554371031330
昆明市,东川区,大水井村,T5207,255928,1038703,2559281038703
昆明市,东川区,土城村,T5208,260243,1030348,2602431030348
昆明市,东川区,坪子村,T5209,260408,1030523,2604081030523
昆明市,东川区,浪田坝,T5210,261155,1030510,2611551030510
昆明市,东川区,莫子山,T5211,261742,1025734,2617421025734
昆明市,东川区,新龙坪,T5212,261146,1025656,2611461025656
昆明市,东川区,大地坡,T5213,261103,1025943,2611031025943
昆明市,东川区,红山村,T5214,261641,1025545,2616411025545
昆明市,东川区,树桔村,T5215,262301,1030001,2623011030001
昆明市,东川区,坝塘村,T5216,260634,1030741,2606341030741
昆明市,东川区,达朵村,T5217,261635,1030551,2616351030551
昆明市,东川区,新碧嘎,T5218,260032,1031239,2600321031239
昆明市,东川区,小水井村,T5219,260805,1030632,2608051030632
昆明市,东川区,大寨,T5220,260953,1030905,2609531030905
昆明市,东川区,绿茂村,T5221,261349,1030705,2613491030705
昆明市,嵩明县,东村菜籽箐村,T5222,252541,1030227,2525411030227
昆明市,嵩明县,东村干河,T5223,252619,1025706,2526191025706
昆明市,嵩明县,西山新村,T5224,252108,1025653,2521081025653
昆明市,嵩明县,西山牛路庄,T5225,252258,1025843,2522581025843
昆明市,嵩明县,老余屯老余屯村,T5226,251011,1030357,2510111030357
昆明市,嵩明县,牛足胜足村,T5227,252056,1031005,2520561031005
昆明市,嵩明县,西山葛根塘上村,T5228,252038,1025617,2520381025617
昆明市,嵩明县,矣得谷大矣得谷村,T5229,251954,1030839,2519541030839
昆明市,嵩明县,黑营盘村委会,T5230,251925,1025748,2519251025748
昆明市,嵩明县,匡郎村委会,T5231,252425,1031241,2524251031241
昆明市,嵩明县,匡郎村委会,T5232,252319,1031237,2523191031237
昆明市,嵩明县,核桃小学,T5233,250752,1030524,2507521030524
昆明市,嵩明县,水海村委会,T5234,252113,1031316,2521131031316
昆明市,嵩明县,水海村委会,T5235,252138,1031322,2521381031322
昆明市,嵩明县,荒田村委会,T5236,251728,1031626,2517281031626
昆明市,嵩明县,落水洞村委会,T5237,250823,1030616,2508231030616
昆明市,嵩明县,上游水库,T5238,252300,1030500,2523001030500
昆明市,嵩明县,大石头水库,T5239,252300,1030100,2523001030100
昆明市,嵩明县,八家村水库,T5240,251200,1030100,2512001030100
昆明市,嵩明县,大冲河水库,T5241,252300,1025900,2523001025900
昆明市,寻甸县,五村,T5242,254102,1025922,2541021025922
昆明市,寻甸县,金源乡沙湾大沟,T5243,254945,1030733,2549451030733
昆明市,寻甸县,金源乡小村,T5244,255208,1030922,2552081030922
昆明市,寻甸县,横河,T5245,253426,1025945,2534261025945
昆明市,宜良县,毛家庄,T5246,244652,1030358,2446521030358
昆明市,宜良县,新庄村,T5247,244801,1030358,2448011030358
昆明市,宜良县,安家田,T5248,245836,1030749,2458361030749
昆明市,宜良县,金梅,T5249,250041,1030911,2500411030911
昆明市,安宁市,王家庄大地村,T5250,244754,1022233,2447541022233
昆明市,安宁市,始甸水库,T5251,245618,1023536,2456181023536
昆明市,安宁市,法华寺,T5252,245541,1023149,2455411023149
昆明市,安宁市,牛厂箐,T5253,250434,1021136,2504341021136
昆明市,晋宁县,酸水塘站,T5254,243137,1023731,2431371023731
昆明市,晋宁县,朱家营站,T5255,244429,1022740,2444291022740
昆明市,晋宁县,科地站,T5256,243637,1023912,2436371023912
昆明市,晋宁县,雨孜雾站,T5257,244145,1024832,2441451024832
昆明市,富民县,百花山,T5258,251948,1022259,2519481022259
昆明市,富民县,拖旦,T5259,251351,1022525,2513511022525
昆明市,富民县,小水井,T5260,251618,1023742,2516181023742
昆明市,富民县,龙闸坝,T5261,251707,1022151,2517071022151
昆明市,石林县,平田村,T5262,243100,1031331,2431001031331
昆明市,石林县,中龙村,T5263,243809,1031415,2438091031415
昆明市,石林县,蓑衣山,T5264,243909,1032016,2439091032016
